Name,Description,Author,Comment,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
merge conflicts,inflict [ncr_error]999 error|[gray](once per battle),notmario,balanceditemlike,2,inflict(~ncr_error~|999); sfx(~roboterror~);,,NORMAL,,GRAY,change_power,complicate,,,0,NO,NO,nm,,,,,,,,,,,,
merge conflicts_upgraded,combine dice[;] inflict [ncr_error]999|[gray](once per battle),notmario,spanner incident 76,1,inflict(~ncr_error~|999); sfx(~roboterror~); givedice(d);,,NORMAL|NORMAL,,GRAY,,,,,0,NO,NO,nm,,,,,,,,,,,,givedice(d);
spiked spike,do [sword]3 damage twice,notmario,,2,attack(3); attack(3); sfxdamage(target|6);,,COUNTDOWN,6,RED,change_power,change_power,,,0,NO,NO,nm,,,,,,,,,,,,
spiked spike_upgraded,do [sword]3 damage twice,notmario,,2,attack(3); attack(3); sfxdamage(target|6);,,COUNTDOWN,4,RED,,,,,0,NO,NO,nm,,,,,,,,,,,,
spiked spike_downgraded,do [sword]1 damage twice,notmario,,2,attack(1); attack(2); sfxdamage(target|2);,,COUNTDOWN,6,RED,,,,,0,NO,NO,nm,,,,,,,,,,,,
spiked spike_weakened,do [sword]1 damage twice,notmario,,2,attack(1); attack(2); sfxdamage(target|2);,,COUNTDOWN,4,RED,,,,,0,NO,NO,nm,,,,,,,,,,,,
big shot@catchmod,do [sword]18 damage,notmario,,2,attack(18); sfxdamage(target|18);,,REQUIRE6|REQUIRE6,,RED,increaserange,change_power,,,0,NO,NO,nm,,,,,,,,,,,,
big shot@catchmod_downgraded,do [sword]12 damage,notmario,,2,attack(12); sfxdamage(target|12);,,REQUIRE6|REQUIRE6,,RED,,,,,0,NO,NO,nm,,,,,,,,,,,,
morbin' time@catchmod,do [sword]3 damage|on 6[;] sell [ticket]2B tickets,notmario,more bius,1,attack(3); sfxdamage(target|3); if (d==6) {inflictself(~tickets~|2); sfx(~_mana~);},,NORMAL,,RED,,,,,0,NO,NO,nm,,,,,,,,,,,,if (d==6) {inflictself(~tickets~|2); sfx(~_mana~);}
morbin' time@catchmod_upgraded,do [sword]3 damage|on even[;] sell [ticket]2B tickets,notmario,,1,attack(3); sfxdamage(target|3); if (d%2==0) {inflictself(~tickets~|2); sfx(~_mana~);},,NORMAL,,RED,,,,,0,NO,NO,nm,,,,,,,,,,,,if (d%2==0) {inflictself(~tickets~|2); sfx(~_mana~);}
morbin' time@catchmod_downgraded,do [sword]3 damage,notmario,,1,attack(3); sfxdamage(target|3);,,NORMAL,,RED,,,,,0,NO,NO,nm,,,,,,,,,,,,
box office@catchmod,[sword]1[;] get a new dice|(cost [ticket]1B[]: get two),notmario,,1,if (getstatusself(~tickets~) >= 1) {removestatusself(~tickets~|1); sfx(~_mana~); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else {givedice();} attack(1); sfxdamage(target|1);,,NORMAL,,PURPLE,,,,,0,NO,NO,nm,,,,,,,,,,,,if (getstatusself(~tickets~) >= 1) {removestatusself(~tickets~|1); sfx(~_mana~); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else {givedice();} 
box office@catchmod_upgraded,[sword]1[;] get a new dice|(cost [ticket]1B[]: get two)|,notmario,,1,if (getstatusself(~tickets~) >= 1) {removestatusself(~tickets~|1); sfx(~_mana~); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else {givedice();} attack(1); sfxdamage(target|1);,,NORMAL,,PURPLE,,,,,2,NO,NO,nm,,,,,,,,,,,,if (getstatusself(~tickets~) >= 1) {removestatusself(~tickets~|1); sfx(~_mana~); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else {givedice();} 
box office@catchmod_downgraded,[sword]1[;] get a new dice,notmario,,1,givedice(); attack(1); sfxdamage(target|1);,,NORMAL,,PURPLE,,,,,0,NO,NO,nm,,,,,,,,,,,,givedice();
